Page Path,Publish Status,Current Tag Name,Current Tag ID,New Tag ID
/content/abbvie-pro/hk/en/therapy-areas/immunology/dermatology/rinvoq-ad,NOT PUBLISHED,AbbVie Care is a PSP available to patients prescribed RINVOQ,V1M000000000105, 
/content/abbvie-pro/hk/en/therapy-areas/oncology/blood-Cancers/medical-education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/virology/hepatitis-c/single-article-pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/gastroenterology/disease_awareness_content_hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/blood-Cancers/single_article_pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/forgot-password,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/learning-portal,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/event-131,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/user-registration,PREVIEW, , , 
/content/abbvie-pro/hk/en/account/after-registration,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/user-login,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/set-password,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/opthamology/single-article-pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/dermatology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/event-1,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/solid-tumors/single-article-pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/blood-Cancers/disease_awareness_content_hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/opthamology/disease-awareness-content-hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/gastroenterology/single_article_pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/solid-tumors/disease-awareness-content-hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/virology/hepatitis-c/medical-education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/events,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/opthamology/medical-education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/event-11,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/virology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/rheumatology/single_article_pages,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/event-13,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/event-12,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/gastroenterology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/neuroscience/neurology/single-article-pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/dermatology/medical_education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/dermatology/disease_awareness_content_hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/rheumatology,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/opthamology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/virology/hepatitis-c/disease-awareness-content-hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/dermatology/single_article_pages,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/reset-password,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/eye-care/acuiti/learning-portal/training-detail,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/neuroscience,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/private-sitemap,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/rheumatology/medical_education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/neuroscience/neurology/disease-awareness-content-hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/solid-tumors,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/neuroscience/neurology/medical-education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/account/invalid-request,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/neuroscience/neurology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/hemato-oncology,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/article-detail,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/gastroenterology/medical_education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/immunology/rheumatology/disease_awareness_content_hubs,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/solid-tumors/medical-education,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/sitemap,PREVIEW, , , 
/content/abbvie-pro/hk/en/therapy-areas/oncology/blood-Cancers,NOT PUBLISHED, , , 
/content/abbvie-pro/hk/en/therapy-areas/virology/hepatitis-c,NOT PUBLISHED, , , 
